a0,a1,a2,a3,st_range,end_range
49.70976,-6.247717,-1.675372,-0.06782349,-8.233979,-20.35728
12047.63,1761.855,85.17825,1.354332,-20.35728,-24.82375
20658.5,2802.497,127.0994,1.91725,-24.82375,-21.95244
124.8888,-3.607399,-0.7270486,-0.02371097,-21.95244,-7.276876
135.3278,0.6962232,-0.1356381,0.003379896,-7.276876,17.92682
160.7564,-3.559185,0.1017386,-0.001033914,17.92682,34.19756
113.7016,0.568727,-0.01896919,0.0001426592,34.19756,53.97767
75.67584,2.682141,-0.05812268,0.0003844473,53.97767,73.75778
-1992.587,86.80598,-1.198664,0.005538895,73.75778,87.15721
12465.94,-410.8645,4.511367,-0.01629916,87.15721,92.26176
